newspaper_id,newspaper_name,newspaper_issue,date
135908617,Spiritualist,No.1,November 19th 1869
135908618,Spiritualist,No.2,December 3rd 1869
135908619,Spiritualist,No.3,December 17th 1869
135908620,Spiritualist,No.4,December 31st 1869
135908621,Spiritualist,No.5,January 14th 1870
135908622,Spiritualist,No.6,February 15th 1870
135908623,Spiritualist,No.7,March 15th 1870
135908624,Spiritualist,No.8,April 15 1870
135908625,Spiritualist,No.9,May 15th 1870
135908626,Spiritualist,No.10,June 15th 1870
135908627,Spiritualist,No.11,July 15th 1870
135908628,Spiritualist,No.12,August 15th 1870
135908629,Spiritualist,No.13,September 15th 1870
135908630,Spiritualist,No.14,October 15th 1870
137340974,Spiritualist,No.15,November 15th 1870
135908631,Spiritualist,No.16,December 15th 1870
135908632,Spiritualist,No.17,January 15th 1871
135908633,Spiritualist,No.18,February 15th 1871
135908634,Spiritualist,No.19,March 15th 1871
135908635,Spiritualist,No.20,April 15th 1871
135908636,Spiritualist,No.21,May 15th 1871
135908637,Spiritualist,No.22,June 15th 1871
135908638,Spiritualist,No.23,July 15th 1871
135908639,Spiritualist,No.24,August 15th 1871
135908640,Spiritualist,No.25,September 15th 1871
135908641,Spiritualist,No.26,October 15th 1871
135908642,Spiritualist,No.27,November 15th 1871
135908643,Spiritualist,No.28,December 15th 1871
135908644,Spiritualist,No.29,January 15th 1872
135908645,Spiritualist,No.30,February 15th 1872
135908646,Spiritualist,No.31,March 15th 1872
135908647,Spiritualist,No.32,April 15th 1872
135908648,Spiritualist,No.33,May 15th 1872
135908649,Spiritualist,No.34,June 15th 1872
135908650,Spiritualist,No.35,July 15th 1872
135908651,Spiritualist,No.36,August 15th 1872
135908652,Spiritualist,No.37,September 15th 1872
135908653,Spiritualist,No.38,October 15th 1872
135908654,Spiritualist,No.39,November 1st 1872
135908656,Spiritualist,No.40,November 15 1872
135908657,Spiritualist,No.41,December 1st 1872
135908658,Spiritualist,No.42,December 15th 1872
135908659,Spiritualist,No.43,January 1st 1873
135908660,Spiritualist,No.44,January 15th 1873
135908661,Spiritualist,No.45,February 1st 1873
135908662,Spiritualist,No.46,February 15th 1873
135908663,Spiritualist,No.47,March 1st 1873
135908664,Spiritualist,No.48,March 15th 1873
135908665,Spiritualist,No.49,April 1st 1873
135908666,Spiritualist,No.50,April 15th 1873
135908667,Spiritualist,No.51,May 1st 1873
135908668,Spiritualist,No.52,May 15th 1873
135908669,Spiritualist,No.53,June 1st 1873
135908670,Spiritualist,No.54,June 15th 1873
135908671,Spiritualist,No.55,July 1st 1873
135908672,Spiritualist,No.56,July 15th 1873
135908673,Spiritualist,No.57,August 1st 1873
135908674,Spiritualist,No.58,August 15th 1873
135908675,Spiritualist,No.59,September 1st 1873
135908676,Spiritualist,No.60,September 15th 1873
135908677,Spiritualist,No.61,October 1st 1873
135908678,Spiritualist,No.62,October 15th 1873
135908679,Spiritualist,No.63,November 1st 1873
135908680,Spiritualist,No.64,November 14th 1873
